"Time","Voltage","Temperature"
2025-07-31 21:15:23,2.90 V,20 °C
2025-08-01 01:33:33,2.90 V,18 °C
2025-08-01 05:33:34,2.89 V,18 °C
2025-08-01 09:33:35,2.90 V,53 °C
2025-08-01 14:01:31,2.90 V,27 °C
2025-08-01 18:01:32,2.90 V,24 °C
2025-08-01 22:24:17,2.90 V,19 °C
2025-08-02 02:24:18,2.89 V,17 °C
2025-08-02 06:24:19,2.90 V,18 °C
2025-08-02 10:24:20,2.90 V,34 °C
2025-08-07 16:31:53,2.88 V,28 °C
2025-08-07 20:31:54,2.89 V,22 °C
2025-08-07 21:17:38,2.86 V,21 °C
2025-08-08 00:47:42,2.88 V,19 °C
2025-08-08 04:47:43,2.88 V,17 °C
2025-08-08 08:47:44,2.89 V,49 °C
2025-08-08 12:59:39,2.88 V,32 °C
2025-08-08 17:21:20,2.88 V,30 °C
2025-08-08 21:40:06,2.88 V,22 °C
2025-08-08 23:17:51,2.86 V,21 °C
2025-08-09 02:48:10,2.89 V,19 °C
2025-08-09 06:48:11,2.88 V,19 °C
2025-08-09 11:08:34,2.89 V,32 °C
2025-08-09 15:36:48,2.88 V,30 °C
2025-08-09 19:36:49,2.87 V,25 °C
2025-08-09 23:36:50,2.88 V,19 °C
2025-08-10 03:45:07,2.88 V,18 °C
2025-08-10 07:45:08,2.88 V,20 °C
2025-08-10 12:12:12,2.88 V,29 °C
2025-08-10 16:31:19,2.88 V,28 °C
2025-08-10 21:53:27,2.87 V,21 °C
2025-08-11 01:53:28,2.87 V,19 °C
2025-08-11 05:53:29,2.87 V,19 °C
2025-08-11 09:53:30,2.88 V,39 °C
2025-08-12 20:06:15,2.87 V,20 °C
2025-08-13 00:28:12,2.88 V,19 °C
2025-08-13 21:41:48,2.86 V,20 °C
2025-08-14 01:41:49,2.87 V,19 °C
2025-08-14 05:41:50,2.87 V,19 °C
2025-08-14 09:41:51,2.87 V,21 °C
2025-08-16 02:52:27,2.87 V,19 °C
2025-08-16 06:52:28,2.86 V,19 °C
2025-08-16 10:52:29,2.87 V,24 °C
2025-08-16 14:52:30,2.87 V,30 °C
2025-08-16 18:52:31,2.87 V,26 °C
2025-08-16 22:52:32,2.86 V,21 °C
2025-08-17 02:52:33,2.86 V,18 °C
2025-08-17 06:52:34,2.86 V,18 °C
2025-08-17 10:52:35,2.87 V,33 °C
2025-08-17 18:55:50,2.86 V,23 °C
2025-08-17 22:55:51,2.86 V,19 °C
2025-08-18 02:55:52,2.87 V,17 °C
2025-08-18 06:55:53,2.86 V,16 °C
2025-08-18 10:55:54,2.88 V,32 °C
2025-08-20 17:58:46,2.86 V,29 °C
2025-08-21 14:40:37,2.87 V,33 °C
2025-08-21 18:40:38,2.86 V,27 °C
2025-08-23 09:42:34,2.86 V,48 °C
2025-08-23 14:34:30,2.86 V,27 °C
2025-08-23 18:57:43,2.84 V,23 °C
2025-08-24 11:42:23,2.84 V,26 °C
2025-08-26 23:03:55,2.84 V,20 °C
2025-08-27 03:03:56,2.84 V,18 °C
2025-08-27 07:03:57,2.84 V,18 °C
2025-08-27 11:03:58,2.84 V,30 °C
2025-08-27 15:32:53,2.84 V,27 °C
2025-08-27 19:37:32,2.84 V,22 °C
2025-08-27 23:37:33,2.84 V,19 °C
2025-08-28 03:37:34,2.84 V,17 °C
2025-08-28 07:37:35,2.85 V,19 °C
2025-08-28 11:37:36,2.84 V,27 °C
2025-08-28 16:00:54,2.83 V,27 °C
2025-08-28 20:03:21,2.84 V,22 °C
2025-08-29 00:04:03,2.83 V,18 °C
2025-08-29 04:04:04,2.83 V,17 °C
2025-08-29 08:04:05,2.84 V,21 °C
2025-08-29 12:04:06,2.84 V,26 °C
2025-08-29 16:55:48,2.83 V,25 °C
2025-08-29 21:18:53,2.84 V,20 °C
2025-08-30 01:18:54,2.84 V,18 °C
2025-08-30 09:18:56,2.85 V,54 °C
2025-08-30 14:05:39,2.85 V,32 °C
2025-08-30 18:05:40,2.84 V,29 °C
2025-08-31 16:19:07,2.85 V,32 °C
2025-08-31 20:19:08,2.85 V,25 °C
2025-09-01 00:19:09,2.85 V,21 °C
2025-09-01 12:52:29,2.85 V,30 °C
2025-09-01 16:52:30,2.85 V,31 °C
2025-09-01 20:52:31,2.85 V,24 °C
2025-09-02 00:52:32,2.85 V,21 °C
2025-09-02 04:52:33,2.85 V,20 °C
2025-09-02 08:52:34,2.85 V,50 °C
2025-09-02 12:52:35,2.85 V,31 °C
2025-09-02 16:52:36,2.85 V,27 °C
2025-09-02 20:52:37,2.85 V,23 °C
2025-09-03 00:52:38,2.85 V,20 °C
2025-09-03 04:52:39,2.85 V,18 °C
2025-09-03 08:52:40,2.84 V,39 °C
2025-09-03 12:52:41,2.84 V,28 °C
2025-09-03 16:52:42,2.84 V,28 °C
2025-09-05 00:52:50,2.84 V,20 °C
2025-09-05 04:52:51,2.84 V,20 °C
2025-09-05 08:52:52,2.83 V,21 °C
2025-09-05 13:29:38,2.83 V,25 °C
2025-09-06 17:29:45,2.84 V,26 °C
2025-09-06 21:29:46,2.83 V,21 °C
2025-09-07 01:29:47,2.83 V,19 °C
2025-09-07 05:29:48,2.83 V,18 °C
2025-09-07 09:29:49,2.83 V,24 °C
2025-09-07 13:29:50,2.83 V,28 °C
2025-09-07 17:29:51,2.83 V,27 °C
2025-09-07 21:29:52,2.83 V,22 °C
2025-09-08 01:29:53,2.83 V,20 °C
2025-09-08 05:29:54,2.83 V,20 °C
2025-09-08 09:29:55,2.83 V,40 °C
2025-09-08 13:29:56,2.82 V,28 °C
2025-09-08 17:29:57,2.83 V,28 °C
2025-09-08 21:29:58,2.83 V,24 °C
2025-09-09 01:29:59,2.83 V,23 °C
2025-09-09 05:30:00,2.83 V,21 °C
2025-09-09 09:30:01,2.83 V,26 °C
2025-09-09 13:30:02,2.83 V,28 °C
2025-09-09 17:30:03,2.83 V,27 °C
2025-09-09 21:30:04,2.83 V,21 °C
2025-09-10 01:30:05,2.82 V,21 °C
2025-09-10 05:30:06,2.82 V,21 °C
2025-09-10 09:30:07,2.83 V,25 °C
2025-09-10 13:30:08,2.82 V,25 °C
2025-09-10 17:30:09,2.84 V,24 °C
2025-09-10 21:30:10,2.83 V,20 °C
2025-09-11 01:30:11,2.82 V,21 °C
2025-09-11 05:30:12,2.83 V,20 °C
2025-09-11 09:30:13,2.83 V,53 °C
2025-09-11 13:30:14,2.84 V,27 °C
2025-09-11 17:30:15,2.84 V,25 °C
2025-09-11 21:30:16,2.83 V,21 °C
2025-09-12 01:30:17,2.84 V,19 °C
2025-09-12 05:30:18,2.82 V,19 °C
2025-09-12 09:30:19,2.83 V,46 °C
2025-09-12 13:30:20,2.83 V,27 °C
2025-09-15 16:31:14,2.82 V,30 °C
2025-09-16 19:25:28,2.82 V,24 °C
2025-09-16 23:49:01,2.81 V,20 °C
2025-09-17 03:49:02,2.81 V,18 °C
2025-09-17 07:49:03,2.81 V,19 °C
2025-09-17 11:49:04,2.82 V,29 °C
2025-09-17 16:02:14,2.81 V,31 °C
2025-09-17 20:23:42,2.82 V,24 °C
2025-09-18 00:23:43,2.81 V,21 °C
2025-09-18 04:23:44,2.81 V,19 °C
2025-09-18 08:23:45,2.81 V,24 °C
2025-09-18 12:23:46,2.81 V,26 °C
2025-09-20 00:36:27,3.18 V,20 °C
2025-09-20 04:36:28,3.16 V,20 °C
2025-09-20 08:36:29,3.13 V,21 °C
2025-09-20 13:00:26,3.12 V,26 °C
2025-09-20 17:28:28,3.09 V,25 °C
2025-09-20 21:28:29,3.08 V,21 °C
2025-09-21 01:28:30,3.06 V,19 °C

